2016-12-20 12:01:16.394 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 259 ] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2016-12-20 12:01:18.068 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 438 ] - Initiating client connection, connectString=192.168.101.104:2181 sessionTimeout=30000 watcher=org.I0Itec.zkclient.ZkClient@600b90df
2016-12-20 12:01:18.220 [ main-SendThread(192.168.101.104:2181) ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 975 ] - Opening socket connection to server 192.168.101.104/192.168.101.104:2181. Will not attempt to authenticate using SASL (unknown error)
2016-12-20 12:01:18.222 [ main-SendThread(192.168.101.104:2181) ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 852 ] - Socket connection established to 192.168.101.104/192.168.101.104:2181, initiating session
2016-12-20 12:01:18.530 [ main-SendThread(192.168.101.104:2181) ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 1235 ] - Session establishment complete on server 192.168.101.104/192.168.101.104:2181, sessionid = 0x1585ea4ee370630, negotiated timeout = 30000
2016-12-20 12:01:19.679 [ Thread-1 ] - [ INFO  ] [o.s.context.support.GenericApplicationContext : 951 ] - Closing org.springframework.context.support.GenericApplicationContext@47db50c5: startup date [Tue Dec 20 12:01:17 CST 2016]; root of context hierarchy
2016-12-20 12:01:19.695 [ DubboShutdownHook ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 684 ] - Session: 0x1585ea4ee370630 closed
2016-12-20 12:01:19.695 [ main-EventThread ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 512 ] - EventThread shut down
2016-12-20 12:03:30.296 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 259 ] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2016-12-20 12:03:30.313 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 207 ] - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2016-12-20 12:03:30.316 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 185 ] - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@22e357dc, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@49912c99, org.springframework.test.context.support.DirtiesContextTestExecutionListener@10163d6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2dde1bff, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15bbf42f]
